user id,Age,Urbain,"Casual, Urbancool, Streetwear","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique","Vintage, Kawaii",Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_mode,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
1677,24.0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38088.23529411765,45336.36363636364,17,11,0,0,0,0,5,2,10,9,4
1678,24.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40750.0,41616.666666666664,22,6,0,0,0,0,5,2,15,4,4
1679,24.0,1,1,3,2,1,1,2,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,29342.105263157893,65411.11111111111,19,9,0,0,0,0,5,2,12,7,4
1680,23.0,0,1,1,1,2,1,1,1,0,1,7,3,6,12,11,2,0,0,0,0,0,0,0,0,37529.166666666664,61375.0,24,4,0,0,0,0,6,1,16,3,3
1681,25.0,1,1,1,0,1,0,1,0,0,0,5,3,3,2,1,1,0,0,0,0,0,0,0,0,37969.230769230766,79500.0,26,2,0,0,0,0,6,1,18,1,3
1682,23.0,1,1,1,1,2,1,0,1,0,0,4,2,2,2,2,3,0,0,0,0,0,0,0,0,35429.166666666664,73975.0,24,4,0,0,0,0,7,0,15,4,3
1683,31.0,0,1,3,0,2,1,2,0,0,1,7,4,3,10,11,8,0,0,0,0,0,0,0,0,39964.705882352944,42436.36363636364,17,11,0,0,0,0,5,2,11,8,3
1684,24.0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33711.11111111111,53940.0,18,10,0,0,0,0,4,3,13,6,4
1685,30.0,0,3,3,2,2,1,2,1,0,1,9,8,9,13,18,12,0,0,0,0,0,0,0,0,32045.454545454544,73533.33333333333,22,6,0,0,0,0,7,0,13,6,3
1686,24.0,1,2,3,1,1,1,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,37072.0,73133.33333333333,25,3,0,0,0,0,7,0,16,3,4
1687,24.0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,4
1688,24.0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,26575.0,51706.25,12,16,0,0,0,0,4,3,6,13,4
1689,22.0,0,2,2,0,0,0,2,1,0,0,5,1,0,4,1,0,0,0,0,0,0,0,0,0,39560.0,44375.0,20,8,0,0,0,0,4,3,15,4,4
1690,20.0,0,2,2,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,38952.63157894737,45122.22222222222,19,9,0,0,0,0,3,4,14,5,4
1691,22.0,1,1,1,0,0,1,1,1,0,0,5,1,0,3,5,3,0,0,0,0,0,0,0,0,36252.63157894737,50822.22222222222,19,9,0,0,0,0,4,3,13,6,4
1692,25.0,0,3,0,0,0,1,2,0,0,0,4,1,0,5,3,1,0,0,0,0,0,0,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,4
1693,24.0,0,2,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39332.0,54300.0,25,3,0,0,0,0,6,1,17,2,4
1694,24.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36390.0,43461.11111111111,10,18,0,0,0,0,2,5,7,12,4
1695,25.0,0,3,0,0,0,1,2,1,0,0,5,0,0,4,3,0,0,0,0,0,0,0,0,0,33577.77777777778,54180.0,18,10,0,0,0,0,6,1,10,9,4
1696,20.0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,41572.72727272727,38600.0,22,6,0,0,0,0,5,2,16,3,4
1697,17.0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,23881.81818181818,51970.58823529412,11,17,0,0,0,0,2,5,8,11,4
1698,21.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,38147.05882352941,45245.454545454544,17,11,0,0,0,0,3,4,13,6,4
1700,24.0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,22238.46153846154,57140.0,13,15,0,0,0,0,4,3,7,12,4
1701,24.0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44261.90476190476,30957.14285714286,21,7,0,0,0,0,4,3,15,4,4
1702,40.0,0,2,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,32400.0,72233.33333333333,22,6,0,0,0,0,6,1,14,5,4
1703,40.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,40742.307692307695,43450.0,26,2,0,0,0,0,5,2,19,0,4
1704,20.0,1,1,3,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,39511.53846153846,59450.0,26,2,0,0,0,0,6,1,18,1,4
1705,21.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52300.0,29571.428571428572,14,14,0,0,0,0,2,5,12,7,4
1706,24.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44362.5,20375.0,24,4,0,0,0,0,6,1,17,2,4
1707,31.0,0,3,2,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,37510.0,49500.0,20,8,0,0,0,0,5,2,13,6,4
1708,24.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33905.555555555555,53590.0,18,10,0,0,0,0,3,4,13,6,4
1709,24.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20036.363636363636,54458.82352941176,11,17,0,0,0,0,4,3,5,14,4
1711,22.0,0,0,3,1,0,1,0,0,0,0,5,1,1,4,4,0,0,0,0,0,0,0,0,0,32768.75,51825.0,16,12,0,0,0,0,3,4,11,8,4
1712,24.0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58266.666666666664,36209.09090909091,6,22,0,0,0,0,0,7,6,13,4
1713,22.0,1,2,3,0,0,1,2,1,0,0,6,4,1,9,7,0,0,0,0,0,0,0,0,0,24600.0,51145.454545454544,5,11,0,0,0,0,1,1,3,10,3
1714,28.0,1,2,2,1,1,1,2,0,0,0,2,0,0,3,7,0,0,0,0,0,0,0,0,1,45994.444444444445,31830.0,18,10,0,0,0,0,4,3,14,5,4
1715,23.0,1,2,3,1,0,1,0,0,0,0,2,6,4,8,10,4,0,0,0,0,0,0,0,0,42410.52631578947,37822.22222222222,19,9,0,0,0,0,6,1,13,6,3
1717,42.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,4
1718,25.0,0,0,1,1,0,1,1,1,0,0,7,1,0,8,10,1,0,0,0,0,0,0,0,0,54283.333333333336,37295.454545454544,6,22,0,0,0,0,3,4,3,16,4
1719,24.0,1,1,2,1,0,1,2,1,0,0,5,4,5,8,8,2,0,0,0,0,0,0,0,0,35007.692307692305,118000.0,26,2,0,0,0,0,7,0,17,2,3
1720,24.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46609.09090909091,37264.705882352944,11,17,0,0,0,0,4,3,7,12,4
1721,24.0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28641.176470588234,59936.36363636364,17,11,0,0,0,0,5,2,10,9,4
1722,27.0,1,1,2,1,1,1,1,1,0,0,5,4,3,10,9,0,0,0,0,0,0,0,0,0,31720.0,63975.0,20,8,0,0,0,0,6,1,12,7,3
1723,23.0,1,1,2,0,2,1,2,0,0,0,4,3,3,5,0,1,0,0,0,0,0,0,0,0,24750.0,70070.0,18,10,0,0,0,0,4,3,12,7,3
1724,24.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42986.36363636364,33416.666666666664,22,6,0,0,0,0,7,0,14,5,4
1725,26.0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,25540.0,49488.88888888889,10,18,0,0,0,0,2,5,8,11,4
1727,24.0,0,3,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36242.857142857145,55014.28571428572,21,7,0,0,0,0,6,1,13,6,4
1728,23.0,1,3,3,0,2,1,2,1,0,0,6,6,10,2,8,16,0,0,0,0,0,0,0,0,38081.48148148148,118000.0,27,1,0,0,0,0,7,0,18,1,3
1729,21.0,1,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38132.0,64300.0,25,3,0,0,0,0,6,1,17,2,4
1730,23.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29275.0,56483.333333333336,16,12,0,0,0,0,4,3,10,9,4
1731,23.0,0,2,3,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,26747.058823529413,62863.63636363636,17,11,0,0,0,0,4,3,11,8,4
1732,24.0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41634.782608695656,37720.0,23,5,0,0,0,0,6,1,15,4,4
1733,24.0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52126.666666666664,28023.076923076922,15,13,0,0,0,0,2,5,13,6,4
1734,27.0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,31466.666666666668,57980.0,18,10,0,0,0,0,4,3,12,7,4
1735,20.0,0,3,2,2,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,36350.0,49190.0,18,10,0,0,0,0,3,4,14,5,4
1736,21.0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,4
1737,24.0,1,3,2,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,4
1738,22.0,0,3,2,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,4
1739,25.0,1,1,0,2,0,1,1,0,0,0,2,4,4,9,7,0,0,0,0,0,0,0,0,0,43323.07692307692,9900.0,26,2,0,0,0,0,6,1,18,1,3
1740,27.0,0,3,1,0,0,0,1,1,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,36962.5,46233.333333333336,16,12,0,0,0,0,3,4,12,7,4
1741,24.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30272.727272727272,47835.294117647056,11,17,0,0,0,0,4,3,6,13,4
1742,24.0,0,3,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24842.85714285714,57028.57142857143,14,14,0,0,0,0,3,4,9,10,4
1743,33.0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,0,0,0,0,0,40410.52631578947,42044.444444444445,19,9,0,0,0,0,4,3,14,5,4
1745,28.0,1,2,2,0,0,0,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,30200.0,63600.0,19,9,0,0,0,0,5,2,12,7,4
1746,21.0,0,1,2,0,0,1,2,0,0,0,5,2,2,2,6,1,0,0,0,0,0,0,0,0,43127.77777777778,36990.0,18,10,0,0,0,0,4,3,14,5,3
1747,24.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28878.571428571428,52992.857142857145,14,14,0,0,0,0,4,3,9,10,4
1748,24.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39968.0,49000.0,25,3,0,0,0,0,6,1,17,2,4
1749,22.0,0,3,1,1,0,1,0,1,0,0,6,4,2,9,5,2,0,0,0,0,0,0,0,0,30457.14285714286,51414.28571428572,14,14,0,0,0,0,3,4,9,10,3
1750,24.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29947.36842105263,64133.333333333336,19,9,0,0,0,0,4,3,14,5,4
1751,25.0,1,3,3,1,1,1,1,0,0,0,5,2,1,6,3,2,0,0,0,0,0,0,0,0,43927.27272727273,29966.666666666668,22,6,0,0,0,0,7,0,14,5,3
1752,25.0,0,1,0,0,0,1,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,37969.230769230766,79500.0,26,2,0,0,0,0,6,1,18,1,4
1753,20.0,0,2,1,1,0,1,1,0,0,0,6,3,3,10,7,1,0,0,0,0,0,0,0,0,45750.0,34516.666666666664,16,12,0,0,0,0,3,4,13,6,3
1754,26.0,0,3,3,2,2,1,2,2,0,1,6,2,1,8,8,2,0,0,0,0,0,0,0,0,41760.86956521739,37140.0,23,5,0,0,0,0,5,2,16,3,3
1755,24.0,1,1,1,2,0,1,1,0,0,0,6,3,1,6,6,4,0,0,0,0,0,0,0,0,38180.95238095238,49200.0,21,7,0,0,0,0,6,1,13,6,3
1756,20.0,0,1,1,0,0,0,1,0,0,0,7,1,0,6,6,1,0,0,0,0,0,0,0,0,36017.391304347824,63560.0,23,5,0,0,0,0,6,1,15,4,4
1757,25.0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,42100.0,39136.36363636364,17,11,0,0,0,0,5,2,11,8,4
1758,20.0,0,3,2,0,0,1,0,1,0,0,4,2,1,10,7,2,0,0,0,0,0,0,0,0,36156.0,80766.66666666667,25,3,0,0,0,0,7,0,16,3,3
1759,24.0,0,3,3,0,0,0,1,1,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,40113.63636363636,43950.0,22,6,0,0,0,0,6,1,14,5,4
